City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,birin,26.8865,88.0718,10.19,58,0,2.01,NP,1675437663
232,rafraf,37.1904,10.1837,15.18,63,0,3.12,TN,1675437664
233,trairi,-3.2778,-39.2689,30.64,56,100,6.19,BR,1675437585
234,haines junction,60.7522,-137.5108,-20.03,84,99,0.51,CA,1675437664
235,nelson bay,-32.7167,152.15,21.73,84,0,3.58,AU,1675437665
236,yeppoon,-23.1333,150.7333,26.88,74,97,2.67,AU,1675437666
237,porto uniao,-26.2381,-51.0783,26.11,65,89,2.65,BR,1675437549
238,sao gabriel da cachoeira,-0.1303,-67.0892,25.89,94,75,2.06,BR,1675437666
239,komsomolskiy,40.4272,71.7189,5.4,87,100,2.06,UZ,1675437667
240,yemelyanovo,56.1681,92.6767,-16.55,85,100,0.0,RU,1675437667
241,shu,43.5983,73.7614,2.2,96,100,2.6,KZ,1675437668
242,kieta,-6.2167,155.6333,26.39,84,93,1.58,PG,1675437668
243,yaan,7.3833,8.5667,38.82,10,82,2.99,NG,1675437669
244,nome,64.5011,-165.4064,-26.96,91,0,0.0,US,1675437669
245,breves,-1.6822,-50.4803,25.89,79,100,0.99,BR,1675437670
246,thompson,55.7435,-97.8558,-32.91,68,100,1.03,CA,1675437671
247,goderich,43.7501,-81.7165,-11.16,78,100,9.77,CA,1675437671
248,kavieng,-2.5744,150.7967,27.72,76,100,4.24,PG,1675437672
249,mandalgovi,45.7625,106.2708,-11.12,50,0,4.06,MN,1675437673
250,zile,40.3031,35.8864,0.51,74,100,1.64,TR,1675437673
251,korla,41.7597,86.1469,-2.49,62,100,1.03,CN,1675437674
252,santander jimenez,24.2167,-98.4667,11.7,61,0,3.56,MX,1675437674
253,oktyabrskoye,43.0645,44.7417,-1.92,93,100,4.0,RU,1675437675
254,deputatskiy,69.3,139.9,-34.78,100,99,0.94,RU,1675437675
255,zharkovskiy,55.849,32.2697,-4.64,95,99,2.64,RU,1675437676
256,lompoc,34.6391,-120.4579,9.18,60,100,5.14,US,1675437676
257,chapais,49.7834,-74.8492,-35.12,89,100,5.78,CA,1675437677
258,vitim,59.4511,112.5578,-12.56,95,100,2.35,RU,1675437677
259,rio gallegos,-51.6226,-69.2181,27.03,24,20,7.2,AR,1675437678
260,yeniseysk,58.4497,92.1703,-20.93,100,100,0.28,RU,1675437679
261,hami,42.8,93.45,-1.57,45,80,3.06,CN,1675437679
262,krasnyy yar,46.5331,48.3456,-0.04,93,100,4.62,RU,1675437680
263,kristiinankaupunki,62.2743,21.376,-6.06,91,86,4.45,FI,1675437681
264,codajas,-3.8367,-62.0569,26.6,91,78,1.77,BR,1675437681
265,marienburg,54.0359,19.0266,-0.06,96,100,7.26,PL,1675437682
266,ancud,-41.8697,-73.8203,19.3,68,0,2.72,CL,1675437683
267,saint-leu,-21.15,55.2833,25.48,82,68,3.83,RE,1675437683
268,samarai,-10.6167,150.6667,27.5,81,100,2.29,PG,1675437684
269,gombong,-7.6072,109.5142,25.86,86,100,1.25,ID,1675437684
270,mandan,46.8267,-100.8896,-17.01,75,100,9.77,US,1675437685
271,clyde river,70.4692,-68.5914,-29.87,63,75,8.23,CA,1675437685
272,kahului,20.8947,-156.47,23.25,91,20,2.68,US,1675437686
273,college,64.8569,-147.8028,-14.01,78,100,0.0,US,1675437686
274,susangerd,31.5608,48.1831,14.76,37,0,4.19,IR,1675437687
275,togul,53.465,85.9128,-16.49,99,72,0.42,RU,1675437687
276,axim,4.8699,-2.2405,28.23,73,37,4.95,GH,1675437688
277,barra patuca,15.8,-84.2833,26.43,71,17,2.79,HN,1675437689
278,khilok,51.3674,110.4676,-15.46,93,81,2.05,RU,1675437689
279,imbituba,-28.24,-48.6703,28.25,72,100,2.35,BR,1675437690
280,businga,3.3333,20.8833,37.03,24,74,0.65,CD,1675437690
281,nikolayevka,53.1257,47.2041,-3.23,90,100,1.57,RU,1675437691
282,claremore,36.3126,-95.6161,-2.47,59,0,2.57,US,1675437691
283,finschhafen,-6.6024,147.8681,26.28,87,100,3.11,PG,1675437692
284,east london,-33.0153,27.9116,25.52,73,75,5.66,ZA,1675437692
285,lucea,18.451,-78.1736,27.14,68,9,3.73,JM,1675437693
286,sasaram,24.951,84.0149,15.82,42,14,2.72,IN,1675437693
287,jaisalmer,26.9147,70.9181,22.33,16,0,1.46,IN,1675437694
288,inirida,3.8653,-67.9239,28.26,57,84,1.83,CO,1675437694
289,port blair,11.6667,92.75,28.02,78,40,2.06,IN,1675437695
290,espanola,35.9911,-106.0806,3.69,61,1,1.33,US,1675437695
291,manokwari,-0.8667,134.0833,25.53,83,100,3.27,ID,1675437696
292,cody,44.5263,-109.0565,7.12,26,0,6.69,US,1675437492
293,omsukchan,62.5333,155.8,-30.54,100,100,1.85,RU,1675437697
294,warri,5.5167,5.75,37.58,30,41,2.46,NG,1675437697
295,zabol,32.25,67.25,0.85,92,16,2.35,AF,1675437698
296,sabang,5.8933,95.3214,26.84,78,51,5.6,ID,1675437698
297,nanortalik,60.1432,-45.2371,-7.83,70,98,11.85,GL,1675437699
298,izazi,-7.2,35.7333,24.32,79,99,2.13,TZ,1675437699
299,borazjan,29.2666,51.2159,15.26,65,1,2.54,IR,1675437700
300,san policarpo,12.1791,125.5072,26.21,83,36,7.52,PH,1675437700
301,surt,31.2089,16.5887,15.69,52,95,4.82,LY,1675437702
302,saurimo,-9.6608,20.3916,24.93,69,86,1.53,AO,1675437703
303,cacu,-18.5567,-51.1308,29.48,59,72,2.75,BR,1675437703
304,sakakah,29.9697,40.2064,13.76,39,41,1.8,SA,1675437704
305,ishigaki,24.3448,124.1572,17.07,94,75,6.69,JP,1675437704
306,yulin,22.6333,110.15,18.82,79,100,0.94,CN,1675437705
307,kloulklubed,7.0419,134.2556,26.28,70,100,7.27,PW,1675437706
308,dingle,10.9995,122.6711,23.52,92,40,3.79,PH,1675437706
309,ondangwa,-17.9167,15.95,32.04,21,98,4.35,NA,1675437707
310,wagar,16.1525,36.2032,29.91,24,30,6.98,SD,1675437707
311,kunashak,55.7032,61.5498,-10.71,63,25,2.36,RU,1675437708
312,mocuba,-16.8392,36.9856,32.06,46,62,3.04,MZ,1675437708
313,gao,16.6362,1.637,33.31,8,61,2.12,ML,1675437709
314,eyl,7.9803,49.8164,24.52,67,6,8.98,SO,1675437709
315,pine bluff,34.2284,-92.0032,1.96,80,0,4.63,US,1675437710
316,ewa beach,21.3156,-158.0072,21.97,88,20,2.06,US,1675437710
317,belyy yar,53.6039,91.3903,-22.06,92,75,0.0,RU,1675437711
318,wajima,37.4,136.9,3.46,68,99,5.75,JP,1675437712
319,kirakira,-10.4544,161.9205,26.33,85,29,2.37,SB,1675437712
320,saint-pierre,-21.3393,55.4781,25.82,78,75,11.32,RE,1675437713
321,san cristobal,7.7669,-72.225,22.1,37,21,3.4,VE,1675437713
322,sao filipe,14.8961,-24.4956,22.77,67,76,5.89,CV,1675437714
323,mayumba,-3.432,10.6554,28.47,80,23,4.84,GA,1675437714
324,vardo,70.3705,31.1107,-2.01,69,20,8.75,NO,1675437591
325,furukawa,38.5717,140.9556,-2.9,81,66,1.63,JP,1675437715
326,xining,36.6167,101.7667,-3.34,44,0,1.09,CN,1675437716
327,vallenar,-28.5708,-70.7581,27.46,34,0,3.73,CL,1675437716
328,hualmay,-11.0964,-77.6139,23.63,77,100,3.59,PE,1675437716
329,lebedinyy,58.5167,125.5167,-19.76,96,100,3.57,RU,1675437717
330,lenger,42.183,69.8839,0.69,89,100,2.15,KZ,1675437717
331,laramie,41.3114,-105.5911,-0.02,45,0,6.69,US,1675437597
332,upernavik,72.7868,-56.1549,-24.41,99,100,3.18,GL,1675437718
333,togur,58.3631,82.8265,-13.8,98,100,0.36,RU,1675437719
334,rocha,-34.4833,-54.3333,22.79,77,87,5.31,UY,1675437719
335,diourbel,14.6628,-16.3925,36.99,26,0,2.06,SN,1675437720
336,huarmey,-10.0681,-78.1522,23.15,79,100,3.04,PE,1675437720
337,katubao,5.8892,124.8294,26.1,79,71,1.75,PH,1675437721
338,kirkwall,58.9848,-2.9587,6.09,93,20,1.54,GB,1675437721
339,voh,-20.9667,164.7,25.26,86,100,1.92,NC,1675437722
340,mangrol,21.1167,70.1167,22.42,54,0,5.0,IN,1675437722
341,saint-andre-les-vergers,48.2853,4.0521,9.02,81,100,5.14,FR,1675437723
342,leshan,29.5623,103.7639,12.78,67,100,1.73,CN,1675437604
343,shimoda,34.6667,138.95,5.06,77,67,4.26,JP,1675437726
344,kouroussa,10.65,-9.8833,36.27,8,5,2.33,GN,1675437727
